Image,Brand,Product_URL,Product
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19366062/2022/8/3/0ba9d3fd-8b22-4c4c-a3c4-d6cfec2dce7e1659523636595BabyGoDesignerPrintedT-shirtandPyjamaforBabyGirls1.jpg",BABY GO,https://www.myntra.com/clothing-set/baby-go/baby-go-girls-pink-clothing-set/19366062/buy,Girls Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19975064/2022/9/14/90fa7ba0-9d59-464e-b5a3-242dfea3c5041663160056322PantaloonsBabyBoysPinkClothingSet1.jpg",Pantaloons Baby,https://www.myntra.com/clothing-set/pantaloons-baby/pantaloons-baby-boys-pink-clothing-set/19975064/buy,Boys Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/23190012/2023/5/15/897c85ca-6059-4214-a3a6-9603853742be1684146760100Ed-A-MammaInfantsBoysCo-OrdinateSet1.jpg",Ed-a-Mamma Baby,https://www.myntra.com/clothing-set/ed-a-mamma-baby/ed-a-mamma-baby-kids-boys-pure-cotton-shirt-with-shorts/23190012/buy,Boys Pure Cotton Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/20547000/2022/12/3/0de357cc-39a6-425b-af38-7e6d450eb5251670011863109GoogoGaagaBoysBlackOrangePrintedPureCottonClothingSet1.jpg",Googo Gaaga,https://www.myntra.com/clothing-set/googo-gaaga/googo-gaaga-boys-black--orange-printed-pure-cotton-clothing-set/20547000/buy,Printed Cotton Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19125970/2022/7/16/4d161387-2c0b-428d-9ee2-fe72ab1531ab1657950558210PantaloonsBabyGirlsMaroonWhitePrintedCottonStraightLegFitDun1.jpg",Pantaloons Baby,https://www.myntra.com/dungarees/pantaloons-baby/pantaloons-baby-girls-maroon--white-printed-cotton-dungaree/19125970/buy,Girls cotton Dungaree
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22122830/2023/2/25/e8bb62cc-a0f3-450e-8401-c71a01b861ee1677270810071PantaloonsBabyBoysPinkPoloCollarT-shirt1.jpg",Pantaloons Baby,https://www.myntra.com/tshirts/pantaloons-baby/pantaloons-baby-infant-boys-polo-collar-cotton-t-shirt/22122830/buy,Infant Boys Cotton  T-shirt
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19722476/2022/8/29/8244fad1-32fa-4f4a-be7d-2a0af350c1ad1661780344094HopscotchGirlsBlackClothingSet1.jpg",Hopscotch,https://www.myntra.com/clothing-set/hopscotch/hopscotch-girls-black-clothing-set/19722476/buy,Girls Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/19918740/2023/4/13/fcd37527-b88b-4a71-bb72-ff648c6b09551681388934643-Nauti-Nati-Girls-Red-Clothing-Set-6541681388934528-7.jpg",Nauti Nati,https://www.myntra.com/clothing-set/nauti-nati/-nauti-nati-girls-red-clothing-set/19918740/buy,Girls Clothing Set
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/21376660/2023/3/30/3de1442d-361f-49d9-95e4-3b60a9f5eb2f1680160979997PantaloonsBabyFloralPrintedRoundNeckPinaforeCottonDress1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-floral-printed-round-neck-pinafore-cotton-dress/21376660/buy,Printed Pinafore Cotton Dress
"https://assets.myntassets.com/dpr_2,q_60,w_210,c_limit,fl_progressive/assets/images/22226102/2023/3/4/5446d4ca-7c71-4958-8b3e-4e100501d3191677916150153PantaloonsBabyMulticolouredA-LineDress1.jpg",Pantaloons Baby,https://www.myntra.com/dresses/pantaloons-baby/pantaloons-baby-infant-girls-pack-of-3-a-line-dress/22226102/buy,Infant Girls Pack Of 3 Dress
